"","tour_code","Tour_type","year","Tournament_Number","Player..","Course..","Player_Name","Tournament_Name","Course","Round","Hole","Hole_Par","Hole_Score","Yardage","Shot","Shot.Type.S.P.D.","Nbr_of_strokes","Shot_Location_Start","Shot_Location_End","Laser_Location_Start","Laser_Location_End","Distance","Distance_to_Pin","Distance_From_Center","Distance_From_Edge","In_Hole","Around_Green","X1st.Putt.Flag","Hole_Distance_After_Shot","Lie","Elevation","Slope","X.Coordinate","Y.Coordinate","Z.Coordinate","Time","Par_Made_Hole"
"1","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,1,4,4,424,1,"S",1,"Tee Box","Primary Rough","","Right Rough",10677,15444,562,126,"N","N","",4788,"Good","With","Level","9,093.97","9,859.90",480.316,1255,1
"2","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,1,4,4,424,2,"S",1,"Primary Rough","Green","Right Rough","Unknown",4932,4788,232,25,"N","N","",281,"N/A","With","Level","8,683.75","9,868.71",503.745,1300,1
"3","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,1,4,4,424,3,"S",1,"Green","Green","Unknown","Unknown",326,281,33,199,"N","N","Y",39,"Good","With","Level","8,697.45","9,845.29",504.02,1304,1
"4","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,1,4,4,424,4,"S",1,"Green","","Unknown","",39,39,0,0,"Y","N","",0,"Good","With","Level","0","0",0,1305,1
"5","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,2,3,2,214,1,"S",1,"Tee Box","Green","","Unknown",7727,7812,214,347,"N","N","",231,"Good","With","Level","9,211.50","10,024.61",490.756,1307,1
"6","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,2,3,2,214,2,"S",1,"Green","","Unknown","",231,231,0,0,"Y","N","Y",0,"Good","With","Level","0","0",0,1312,1
"7","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,3,4,4,387,1,"S",1,"Tee Box","Fairway","","Left Fairway",10069,13464,127,344,"N","N","",3440,"Good","With","Level","8,447.83","10,051.84",507.876,1315,1
"8","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,3,4,4,387,2,"S",1,"Fairway","Green","Left Fairway","Unknown",3309,3440,15,32,"N","N","",132,"Good","With","Level","8,172.98","10,069.28",521.344,1320,1
"9","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,3,4,4,387,3,"S",1,"Green","Green","Unknown","Unknown",150,132,2,140,"N","N","Y",14,"Good","With","Level","8,160.52","10,070.62",521.569,1324,1
"10","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,3,4,4,387,4,"S",1,"Green","","Unknown","",14,14,0,0,"Y","N","",0,"Good","With","Level","0","0",0,1324,1
"11","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,4,4,4,440,1,"S",1,"Tee Box","Primary Rough","","Left Rough",10216,15768,550,278,"N","N","",5727,"Good","With","Level","8,174.51","9,313.66",514.103,1326,1
"12","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,4,4,4,440,2,"S",1,"Primary Rough","Green Side Bunker","Left Rough","Right Front Green Side Bunker",5513,5727,329,241,"N","Y","",418,"N/A","With","Level","8,087.05","8,862.78",523.628,1331,1
"13","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,4,4,4,440,3,"S",1,"Green Side Bunker","Green","Right Front Green Side Bunker","Unknown",409,418,1,138,"N","N","",18,"Good","With","Level","8,113.73","8,842.05",528.237,1334,1
"14","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,4,4,4,440,4,"S",1,"Green","","Unknown","",18,18,0,0,"Y","N","Y",0,"Good","With","Level","0","0",0,1334,1
"15","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,5,4,5,520,1,"S",1,"Tee Box","Tree Outline","","Unknown",9468,18576,1210,793,"N","N","",9062,"Good","With","Level","8,962.09","8,539.50",506.913,1338,0
"16","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,5,4,5,520,2,"S",1,"Primary Rough","Primary Rough","Unknown","Right Rough",2394,9062,594,359,"N","N","",6697,"N/A","With","Level","9,160.19","8,557.87",492.604,1342,0
"17","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,5,4,5,520,3,"S",1,"Primary Rough","Fairway","Right Rough","Right Fairway",6148,6697,155,284,"N","Y","",560,"N/A","With","Level","9,670.05","8,508.70",482.259,1344,0
"18","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,5,4,5,520,4,"S",1,"Fairway","Green","Right Fairway","Unknown",565,560,17,156,"N","N","",15,"Good","With","Level","9,716.62","8,515.21",483.545,1347,0
"19","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,5,4,5,520,5,"S",1,"Green","","Unknown","",15,15,0,0,"Y","N","Y",0,"Good","With","Level","0","0",0,1348,0
"20","R","PGA TOUR",2011,410,1810,688,"Phil Mickelson","TOUR Championship by Coca-Cola","East Lake GC",1,6,3,3,209,1,"S",1,"Tee Box","Green","","Unknown",7743,7740,138,0,"N","N","",136,"Good","With","Level","9,825.00","8,826.42",476.092,1355,1
