"Tour_type","Tournament_Name","Player_Name","Course","Round","Hole","Hole_Par","Hole_Score","Yardage","Shot","Shot.Type.S.P.D.","Nbr_of_strokes","Shot_Location_Start","Shot_Location_End","Laser_Location_Start","Laser_Location_End","Distance","Distance_to_Pin","Distance_From_Center","Distance_From_Edge","In_Hole","Around_Green","First_Putt_Flag","Hole_Distance_After_Shot","Lie","Elevation","Slope","Time","X","Y","Z","Par_Made_Hole","Shots_Left_Hole","Exp_Strokes_B","Exp_Strokes_A","Strokes_Gained"
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"1",4,4,424,1,"S",1,"Tee Box","Primary Rough","","Right Rough",10677,15444,562,126,"N","N","",4788,"Good","With","Level",1255,9093.97,9859.9,480.316,1,3,2.96358496643186,0.951067754881455,1.0125172115504
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"1",4,4,424,2,"S",1,"Primary Rough","Green","Right Rough","Unknown",4932,4788,232,25,"N","N","",281,"Unknown","With","Level",1300,8683.75,9868.71,503.745,1,2,0.951067754881455,0.817490961823073,-0.866423206941618
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"1",4,4,424,3,"S",1,"Green","Green","Unknown","Unknown",326,281,33,199,"N","N","Y",39,"Good","With","Level",1304,8697.45,9845.29,504.02,1,1,0.817490961823073,0.817490961823073,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"1",4,4,424,4,"S",1,"Green","","Unknown","",39,39,0,0,"Y","N","",0,"Good","With","Level",1305,8697.45,9845.29,504.02,1,0,0.817490961823073,0,-0.182509038176927
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"2",3,2,214,1,"S",1,"Tee Box","Green","","Unknown",7727,7812,214,347,"N","N","",231,"Good","With","Level",1307,9211.5,10024.61,490.756,1,1,1.01220797884391,1.01220797884391,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"2",3,2,214,2,"S",1,"Green","","Unknown","",231,231,0,0,"Y","N","Y",0,"Good","With","Level",1312,9211.5,10024.61,490.756,1,0,1.01220797884391,0,0.0122079788439118
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"3",4,4,387,1,"S",1,"Tee Box","Fairway","","Left Fairway",10069,13464,127,344,"N","N","",3440,"Good","With","Level",1315,8447.83,10051.84,507.876,1,3,3.06713866698303,0.988823312099647,1.07831535488339
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"3",4,4,387,2,"S",1,"Fairway","Green","Left Fairway","Unknown",3309,3440,15,32,"N","N","",132,"Good","With","Level",1320,8172.98,10069.28,521.344,1,2,0.988823312099647,1.03552006498303,-1.04669675288338
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"3",4,4,387,3,"S",1,"Green","Green","Unknown","Unknown",150,132,2,140,"N","N","Y",14,"Good","With","Level",1324,8160.52,10070.62,521.569,1,1,1.03552006498303,1.03552006498303,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"3",4,4,387,4,"S",1,"Green","","Unknown","",14,14,0,0,"Y","N","",0,"Good","With","Level",1324,8160.52,10070.62,521.569,1,0,1.03552006498303,0,0.0355200649830287
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"4",4,4,440,1,"S",1,"Tee Box","Primary Rough","","Left Rough",10216,15768,550,278,"N","N","",5727,"Good","With","Level",1326,8174.51,9313.66,514.103,1,3,2.93258022359454,1.12084994208183,0.811730281512712
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"4",4,4,440,2,"S",1,"Primary Rough","Green Side Bunker","Left Rough","Right Front Green Side Bunker",5513,5727,329,241,"N","Y","",418,"Unknown","With","Level",1331,8087.05,8862.78,523.628,1,2,1.12084994208183,0.938316106976968,-0.817466164895138
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"4",4,4,440,3,"S",1,"Green Side Bunker","Green","Right Front Green Side Bunker","Unknown",409,418,1,138,"N","N","",18,"Good","With","Level",1334,8113.73,8842.05,528.237,1,1,0.938316106976968,0.938316106976968,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"4",4,4,440,4,"S",1,"Green","","Unknown","",18,18,0,0,"Y","N","Y",0,"Good","With","Level",1334,8113.73,8842.05,528.237,1,0,0.938316106976968,0,-0.0616838930230319
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"5",4,5,520,1,"S",1,"Tee Box","Tree Outline","","Unknown",9468,18576,1210,793,"N","N","",9062,"Good","With","Level",1338,8962.09,8539.5,506.913,0,4,3.42692383513892,2.92724012305361,-0.500316287914696
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"5",4,5,520,2,"S",1,"Primary Rough","Primary Rough","Unknown","Right Rough",2394,9062,594,359,"N","N","",6697,"Unknown","With","Level",1342,9160.19,8557.87,492.604,0,3,2.92724012305361,1.98226843846577,-0.0550283154121587
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"5",4,5,520,3,"S",1,"Primary Rough","Fairway","Right Rough","Right Fairway",6148,6697,155,284,"N","Y","",560,"Unknown","With","Level",1344,9670.05,8508.7,482.259,0,2,1.98226843846577,1.27980338462475,-0.297534946158979
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"5",4,5,520,4,"S",1,"Fairway","Green","Right Fairway","Unknown",565,560,17,156,"N","N","",15,"Good","With","Level",1347,9716.62,8515.21,483.545,0,1,1.27980338462475,1.27980338462475,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"5",4,5,520,5,"S",1,"Green","","Unknown","",15,15,0,0,"Y","N","Y",0,"Good","With","Level",1348,9716.62,8515.21,483.545,0,0,1.27980338462475,0,0.279803384624753
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"6",3,3,209,1,"S",1,"Tee Box","Green","","Unknown",7743,7740,138,0,"N","N","",136,"Good","With","Level",1355,9825,8826.42,476.092,1,2,1.0433026501338,0.949345924155811,-0.906043274022009
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"6",3,3,209,2,"S",1,"Green","Green","Unknown","Unknown",177,136,38,0,"N","N","Y",40,"Good","With","Level",1400,9837.07,8834.87,476.169,1,1,0.949345924155811,0.949345924155811,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"6",3,3,209,3,"S",1,"Green","","Unknown","",40,40,0,0,"Y","N","",0,"Good","With","Level",1402,9837.07,8834.87,476.169,1,0,0.949345924155811,0,-0.0506540758441889
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"7",4,4,434,1,"S",1,"Tee Box","Fairway","","Right Fairway",9971,15804,110,200,"N","N","",5903,"Good","With","Level",1404,8922.89,9004.64,497.643,1,3,3.04188459841866,0.971524210744153,1.07036038767451
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"7",4,4,434,2,"S",1,"Fairway","Green","Right Fairway","Unknown",5846,5903,233,266,"N","N","",238,"Good","With","Uphill",1408,8459.03,8857.83,523.046,1,2,0.971524210744153,1.00743608920249,-1.03591187845834
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"7",4,4,434,3,"S",1,"Green","Green","Unknown","Unknown",268,238,18,205,"N","N","Y",33,"Good","With","Level",1414,8458.69,8835.54,523.43,1,1,1.00743608920249,1.00743608920249,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"7",4,4,434,4,"S",1,"Green","","Unknown","",33,33,0,0,"Y","N","",0,"Good","With","Level",1414,8458.69,8835.54,523.43,1,0,1.00743608920249,0,0.00743608920248873
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"8",4,4,405,1,"S",1,"Tee Box","Fairway","","Left Fairway",10186,14544,174,352,"N","N","",4326,"Good","With","Level",1418,8403.8,9402.72,525.815,1,3,2.86460701747238,0.966521913256484,0.898085104215898
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"8",4,4,405,2,"S",1,"Fairway","Green","Left Fairway","Unknown",4372,4326,225,303,"N","N","",228,"Good","With","Level",1422,8263.93,9739.14,522.152,1,2,0.966521913256484,1.00540604126125,-1.03888412800476
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"8",4,4,405,3,"S",1,"Green","Green","Unknown","Unknown",236,228,5,119,"N","N","Y",3,"Good","With","Level",1426,8283.27,9742.63,521.597,1,1,1.00540604126125,1.00540604126125,-1
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"8",4,4,405,4,"S",1,"Green","","Unknown","",3,3,0,0,"Y","N","",0,"Good","With","Level",1426,8283.27,9742.63,521.597,1,0,1.00540604126125,0,0.00540604126124755
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"9",5,5,600,1,"S",1,"Tee Box","Fairway","","Right Fairway",11510,21168,360,299,"N","N","",9776,"Good","With","Level",1430,8984.12,9562.68,494.686,1,4,3.02032677985387,1.85516533188814,0.165161447965726
"PGA TOUR","TOUR Championship by Coca-Cola","Phil Mickelson","East Lake GC",1,"9",5,5,600,2,"S",1,"Fairway","Green Side Bunker","Right Fairway","Right Green Side Bunker",9914,9776,1058,129,"N","Y","",1059,"Good","With","Level",1435,9809.29,9525.21,477.173,1,3,1.85516533188814,1.2454668281535,-0.390301496265359
